Time,31P | 31P,43Ca | 43Ca,55Mn | 55Mn,85Rb | 85Rb,87Sr | 87Sr,89Y | 89Y,93Nb | 93Nb,139La | 139La,172Yb | 172Yb,175Lu | 175Lu,176Hf | 176Hf.14N5.1H12,178Hf | 178Hf.14N5.1H12,181Ta | 181Ta,204Pb | 204Pb,206Pb | 206Pb,208Pb | 208Pb,232Th | 232Th.14N.1H,238U | 238U.14N.1H,
,dwell time=0.001;xcal factor=66824.62237,dwell time=0.001;xcal factor=71719.77352,dwell time=0.005;xcal factor=77663.90594,dwell time=0.005;xcal factor=90291.4326,dwell time=0.005;xcal factor=90610.77921,dwell time=0.005;xcal factor=90930.12583,dwell time=0.005;xcal factor=91568.81905,dwell time=0.005;xcal factor=94936.52692,dwell time=0.005;xcal factor=102737.50764,dwell time=0.005;xcal factor=103446.6877,dwell time=0.005;xcal factor=103683.08106,dwell time=0.005;xcal factor=104155.86777,dwell time=0.005;xcal factor=104865.04783,dwell time=0.005;xcal factor=110302.095,dwell time=0.005;xcal factor=110075.4461,dwell time=0.005;xcal factor=109848.79721,dwell time=0.005;xcal factor=107129.01044,dwell time=0.005;xcal factor=106791.55622,
37.01116,0,0,2400.23042212052,200.0016000128,0,0,0,0,0,0,0,0,0,0,200.0016000128,600.014400345608,0,0,
37.2613,0,0,3600.51847466035,0,0,200.0016000128,0,0,0,0,0,0,0,0,200.0016000128,400.006400102402,0,0,
37.51107,0,0,3200.40965243551,0,0,0,0,0,0,0,0,0,0,0,800.025600819226,1000.04000160006,0,0,
37.76123,0,0,2400.23042212052,0,0,0,0,0,0,0,0,0,0,0,200.0016000128,1000.04000160006,0,0,
38.01104,0,0,5201.0818250196,0,200.0016000128,200.0016000128,0,0,0,0,0,0,0,0,400.006400102402,600.014400345608,0,0,
38.26132,0,0,6601.74286011507,0,200.0016000128,200.0016000128,0,0,0,0,0,0,0,0,1400.07840439065,1000.04000160006,0,0,
38.51122,0,0,5201.0818250196,0,200.0016000128,200.0016000128,0,0,0,0,0,0,0,0,1400.07840439065,1200.05760276493,0,200.0016000128,
38.76146,0,0,8002.56081946223,400.006400102402,0,200.0016000128,0,0,200.0016000128,0,0,0,0,200.0016000128,400.006400102402,2800.31363512713,0,0,
39.01123,0,0,7402.19104855037,200.0016000128,0,200.0016000128,0,0,0,0,0,0,0,0,400.006400102402,2400.23042212052,0,0,
39.26143,0,0,8803.09869073914,0,0,200.0016000128,0,0,0,0,0,0,0,0,1000.04000160006,2000.16001280102,0,0,
39.51114,0,0,7802.43435952017,0,200.0016000128,400.006400102402,0,0,0,0,0,0,0,0,1000.04000160006,2600.27042812453,0,0,
39.76121,0,0,8202.69048247825,0,200.0016000128,200.0016000128,0,400.006400102402,0,0,0,0,0,0,1400.07840439065,3400.46246289495,0,0,
40.01127,0,0,9003.24116682005,200.0016000128,200.0016000128,200.0016000128,0,0,0,0,0,0,0,0,600.014400345608,2800.31363512713,0,0,
40.26129,0,0,6601.74286011507,0,0,0,0,0,0,0,0,0,0,0,600.014400345608,1200.05760276493,0,0,
40.51104,0,0,4800.92177698118,0,0,0,0,0,0,0,0,0,0,0,600.014400345608,1000.04000160006,0,0,
40.76137,0,0,4600.84655576626,200.0016000128,200.0016000128,200.0016000128,0,0,0,0,0,0,0,0,600.014400345608,1400.07840439065,0,0,
41.0111,0,0,3000.36004320518,0,0,0,0,0,200.0016000128,0,0,0,0,0,1000.04000160006,600.014400345608,0,0,
41.26125,0,0,4600.84655576626,0,0,0,0,0,0,0,0,0,0,0,0,600.014400345608,0,0,
41.51128,0,0,4000.64010241639,200.0016000128,0,0,0,0,0,0,0,0,0,200.0016000128,600.014400345608,1400.07840439065,0,0,
41.76132,0,0,3000.36004320518,0,0,200.0016000128,0,0,0,0,0,0,0,0,800.025600819226,1200.05760276493,200.0016000128,0,
42.01122,0,0,2000.16001280102,0,200.0016000128,0,0,0,0,0,0,0,0,0,800.025600819226,1400.07840439065,0,0,
42.26132,0,0,4200.70571856072,0,0,0,0,0,0,0,0,0,0,200.0016000128,400.006400102402,1800.12960933187,0,0,
42.51149,0,0,8402.82334864514,0,0,0,0,0,0,0,0,0,0,0,600.014400345608,2000.16001280102,0,0,
42.76123,0,0,9603.68781612139,200.0016000128,200.0016000128,0,0,0,0,0,0,0,0,0,1200.05760276493,400.006400102402,0,0,
43.01098,0,0,8803.09869073914,0,0,0,0,0,0,0,0,0,0,200.0016000128,1200.05760276493,1600.10240655402,0,0,
43.26135,0,0,12406.1534521122,400.006400102402,0,0,0,0,0,0,0,0,0,0,200.0016000128,1800.12960933187,0,0,
43.51116,0,2000.16001280102,12406.1534521122,0,0,0,0,0,0,0,0,0,0,0,800.025600819226,2000.16001280102,200.0016000128,0,
43.76135,0,0,13607.4024269202,400.006400102402,0,0,0,200.0016000128,0,0,0,0,0,0,800.025600819226,1400.07840439065,0,0,
44.01093,0,0,16410.7654621432,0,0,0,0,0,0,0,0,0,0,0,600.014400345608,2600.27042812453,0,0,
44.26124,0,0,11004.8421305374,0,0,0,0,200.0016000128,200.0016000128,0,0,0,0,400.006400102402,1400.07840439065,800.025600819226,0,0,
44.5111,0,0,21418.3340939844,0,0,0,0,0,0,0,0,0,0,0,1800.12960933187,1000.04000160006,0,0,
44.76126,0,0,12606.3536022155,200.0016000128,0,2200.1936170383,0,0,0,0,0,0,0,0,1000.04000160006,2400.23042212052,0,0,
45.01124,0,0,9403.53572943427,400.006400102402,0,200.0016000128,0,0,0,0,0,0,0,0,400.006400102402,1000.04000160006,0,0,
45.26146,0,0,13407.186251831,200.0016000128,0,0,0,0,0,0,0,0,0,0,1400.07840439065,2000.16001280102,0,0,
45.51126,0,0,15409.4922472243,0,0,0,0,0,0,0,0,0,0,0,400.006400102402,1800.12960933187,0,0,
45.76117,0,0,16811.2971917128,0,0,0,0,0,0,0,0,0,0,200.0016000128,400.006400102402,400.006400102402,0,0,
46.011,0,0,16410.7654621432,0,0,0,0,0,0,0,0,0,0,0,1200.05760276493,1200.05760276493,0,200.0016000128,
46.26121,0,0,9003.24116682005,200.0016000128,0,0,0,200.0016000128,0,0,0,0,0,0,1000.04000160006,1000.04000160006,0,0,
46.51102,0,0,10204.1632986258,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,200.0016000128,0,0,
46.76131,0,1000.04000160006,10004.0016006403,0,200.0016000128,0,0,0,0,0,0,0,0,0,1200.05760276493,600.014400345608,0,0,
47.0113,0,0,12806.5569571621,400.006400102402,0,0,0,0,0,0,0,0,0,0,200.0016000128,400.006400102402,0,0,
47.26133,0,1000.04000160006,15209.2472223112,0,0,0,0,0,0,0,0,0,0,0,200.0016000128,1200.05760276493,200.0016000128,0,
47.51095,0,0,12806.5569571621,0,0,0,0,0,0,0,0,0,0,0,400.006400102402,1600.10240655402,0,0,
47.76126,0,0,13607.4024269202,0,0,0,0,0,0,0,0,0,0,0,400.006400102402,1200.05760276493,0,0,
48.01115,0,0,16010.246557797,0,0,0,0,0,0,0,0,0,0,0,600.014400345608,1200.05760276493,0,0,
48.26133,0,0,16010.246557797,0,0,0,0,0,0,0,0,0,0,0,200.0016000128,1400.07840439065,0,0,
48.5111,0,0,15609.7404780583,200.0016000128,200.0016000128,200.0016000128,0,0,0,0,0,0,0,0,1200.05760276493,600.014400345608,0,0,
48.76136,0,0,18213.259252736,0,0,0,0,0,0,0,0,0,0,0,600.014400345608,600.014400345608,0,0,
49.01135,0,0,22620.4488857928,0,200.0016000128,200.0016000128,0,0,0,0,0,0,0,0,600.014400345608,800.025600819226,0,0,
